Word,Translation,Meaning,Example Sentence,Tag,Dialouge,StartTime,EndTime
single,تنها,"{'Noun': ['a base hit on which the batter stops safely at first base', 'the smallest whole number or a numeral representing this number'], 'Verb': ['hit a single'], 'Adjective': ['being or characteristic of a single thing or person', 'used of flowers having usually only one row or whorl of petals', 'existing alone or consisting of one entity or part or aspect or individual', 'not married or related to the unmarried state', 'characteristic of or meant for a single person or thing', 'having uniform application', 'not divided among or brought to bear on more than one object or objective']}","['he has the one but will need a two and three to go with it', 'they had lunch at one']","season 1 , The One Where It All Began (Pilot)","But I don't want to be single, okay?","00:04:05,311","00:04:07,541"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)",I just want to be married again.,"00:04:07,747","00:04:11,274"
married,متاهل,"{'Noun': ['a person who is married'], 'Verb': ['take in marriage', 'perform a marriage ceremony'], 'Adjective': ['joined in matrimony', 'of or relating to the state of marriage']}",['we invited several young marrieds'],"season 1 , The One Where It All Began (Pilot)",I just want to be married again.,"00:04:07,747","00:04:11,274"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)",And I just want a million dollars!,"00:04:15,455","00:04:19,084"
million,میلیون,"{'Noun': ['the number that is represented as a one followed by 6 zeros', 'a very large indefinite number (usually hyperbole'], 'Adjective': ['(in Roman numerals, M written with a macron over it']}",['there were millions of flies'],"season 1 , The One Where It All Began (Pilot)",And I just want a million dollars!,"00:04:15,455","00:04:19,084"
dollars,دلار,"{'Noun': ['the basic monetary unit in many countries; equal to 100 cents', 'a piece of paper money worth one dollar', 'a United States coin worth one dollar', 'a symbol of commercialism or greed']}",N/A,"season 1 , The One Where It All Began (Pilot)",And I just want a million dollars!,"00:04:15,455","00:04:19,084"
thank,تشکر,{'Verb': ['express gratitude or show appreciation to']},N/A,"season 1 , The One Where It All Began (Pilot)","- Rachel? - Oh, Monica! Thank God!","00:04:22,729","00:04:26,426"
god,خداوند,"{'Noun': ['the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions', 'any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force', 'a man of such superior qualities that he seems like a deity to other people', 'a material effigy that is worshipped']}",N/A,"season 1 , The One Where It All Began (Pilot)","- Rachel? - Oh, Monica! Thank God!","00:04:22,729","00:04:26,426"
went,رفت,"{'Verb': ['change location; move, travel, or proceed, also metaphorically', 'follow a procedure or take a course', 'move away from a place into another direction', 'enter or assume a certain state or condition', 'be awarded; be allotted', 'have a particular form', 'stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point', 'follow a certain course', 'be abolished or discarded', 'be or continue to be in a certain condition', 'make a certain noise or sound', 'perform as expected when applied', 'to be spent or finished', 'progress by being changed', 'continue to live and avoid dying', 'pass, fare, or elapse; of a certain state of affairs or action', 'pass from physical life and lose all bodily attributes and functions necessary to sustain life', 'be in the right place or situation', 'be ranked or compare', 'begin or set in motion', ""have a turn; make one's move in a game"", 'be contained in', 'be sounded, played, or expressed', 'blend or harmonize', 'lead, extend, or afford access', 'be the right size or shape; fit correctly or as desired', ""go through in search of something; search through someone's belongings in an unauthorized way"", 'be spent', 'give support (to', 'stop operating or functioning']}","['How fast does your new car go?', 'We travelled from Rome to Naples by bus', 'The policemen went from door to door looking for the suspect', 'The soldiers moved towards the city in an attempt to take it before night fell', 'news travelled fast']","season 1 , The One Where It All Began (Pilot)",I went to your building..,"00:04:26,833","00:04:28,664"
building,ساختمان,"{'Noun': ['a structure that has a roof and walls and stands more or less permanently in one place', 'the act of constructing something', 'the commercial activity involved in repairing old structures or constructing new ones', 'the occupants of a building'], 'Verb': ['make by combining materials and parts', 'form or accumulate steadily', 'build or establish something abstract', 'improve the cleansing action of', 'order, supervise, or finance the construction of', 'give form to, according to a plan', 'be engaged in building', 'found or ground', 'bolster or strengthen', 'develop and grow']}","['there was a three-story building on the corner', 'it was an imposing edifice']","season 1 , The One Where It All Began (Pilot)",I went to your building..,"00:04:26,833","00:04:28,664"
guy,پسر,"{'Noun': ['an informal term for a youth or man', 'an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day', 'a cable, wire, or rope that is used to brace something (especially a tent'], 'Verb': ['subject to laughter or ridicule', 'steady or support with a guy wire or cable']}","['a nice guy', ""the guy's only doing it for some doll""]","season 1 , The One Where It All Began (Pilot)","and a guy with a hammer said you'd be here, and you are.","00:04:28,835","00:04:32,601"
hammer,چکش,"{'Noun': ['the part of a gunlock that strikes the percussion cap when the trigger is pulled', 'a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking', 'the ossicle attached to the eardrum', 'a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc.', 'a heavy metal sphere attached to a flexible wire; used in the hammer throw', 'a striker that is covered in felt and that causes the piano strings to vibrate', 'a power tool for drilling rocks', 'the act of pounding (delivering repeated heavy blows'], 'Verb': ['beat with or as if with a hammer', 'create by hammering']}",N/A,"season 1 , The One Where It All Began (Pilot)","and a guy with a hammer said you'd be here, and you are.","00:04:28,835","00:04:32,601"
said,گفت,"{'Verb': ['express in words', 'report or maintain', 'express a supposition', 'have or contain a certain wording or form', 'give instructions to or direct somebody to do something with authority', 'speak, pronounce, or utter in a certain way', 'communicate or express nonverbally', 'utter aloud', ""state as one's opinion or judgement; declare"", 'recite or repeat a fixed text', 'indicate'], 'Adjective': ['being the one previously mentioned or spoken of']}","['He said that he wanted to marry her', 'tell me what is bothering you', 'state your opinion', 'state your name']","season 1 , The One Where It All Began (Pilot)","and a guy with a hammer said you'd be here, and you are.","00:04:28,835","00:04:32,601"
youd,شما,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","and a guy with a hammer said you'd be here, and you are.","00:04:28,835","00:04:32,601"
coffee,قهوه,"{'Noun': ['a beverage consisting of an infusion of ground coffee beans', 'any of several small trees and shrubs native to the tropical Old World yielding coffee beans', 'a seed of the coffee tree; ground to make coffee', 'a medium brown to dark-brown color']}",['he ordered a cup of coffee'],"season 1 , The One Where It All Began (Pilot)",- Can I get you some coffee? - Decaf.,"00:04:32,772","00:04:36,674"
decaf,بدون کافئین,{'Noun': ['coffee with the caffeine removed']},N/A,"season 1 , The One Where It All Began (Pilot)",- Can I get you some coffee? - Decaf.,"00:04:32,772","00:04:36,674"
lincoln,لینکلن,"{'Noun': ['16th President of the United States; saved the Union during the American Civil War and emancipated the slaves; was assassinated by Booth (1809-1865', 'capital of the state of Nebraska; located in southeastern Nebraska; site of the University of Nebraska', 'long-wooled mutton sheep originally from Lincolnshire']}",N/A,"season 1 , The One Where It All Began (Pilot)","Everybody, this is Rachel, a Lincoln High survivor.","00:04:37,343","00:04:40,744"
survivor,بازمانده,"{'Noun': ['one who lives through affliction', 'one who outlives another', 'an animal that survives in spite of adversity']}",['the survivors of the fire were taken to a hospital'],"season 1 , The One Where It All Began (Pilot)","Everybody, this is Rachel, a Lincoln High survivor.","00:04:37,343","00:04:40,744"
remember,یاد آوردن,"{'Verb': ['recall knowledge from memory; have a recollection', 'keep in mind for attention or consideration', 'recapture the past; indulge in memories', 'show appreciation to', 'mention favorably, as in prayer', 'mention as by way of greeting or to indicate friendship', 'exercise, or have the power of, memory', 'call to remembrance; keep alive the memory of someone or something, as in a ceremony']}","[""I can't remember saying any such thing"", ""I can't think what her last name was"", 'can you remember her phone number?', 'Do you remember that he once loved you?', 'call up memories']","season 1 , The One Where It All Began (Pilot)","Joey. Remember my brother, Ross?","00:04:43,716","00:04:45,911"
sure,مطمئن,"{'Adjective': ['having or feeling no doubt or uncertainty; confident and assured', 'or certain', 'exercising or taking care great enough to bring assurance', 'certain to occur; destined or inevitable', 'physically secure or dependable', 'reliable in operation or effect', '(of persons', 'or trusted', 'infallible or unfailing', 'or true', 'certain not to fail', 'impossible to doubt or dispute', 'or sure'], 'Adverb': [""definitely or positively (`sure' is sometimes used informally for `surely'""]}","['felt certain of success', 'was sure (or certain) she had seen it', 'was very sure in his beliefs', 'sure of her friends']","season 1 , The One Where It All Began (Pilot)",Sure!,"00:04:46,119","00:04:47,313"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)","You want to tell us now, or are we waiting for four wet bridesmaids?","00:04:57,230","00:05:01,894"
tell,بگو,"{'Noun': [""a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap""], 'Verb': ['express in words', 'let something be known', 'narrate or give a detailed account of', 'give instructions to or direct somebody to do something with authority', 'discern or comprehend', 'inform positively and with certainty and confidence', 'give evidence', 'mark as different']}","['He said that he wanted to marry her', 'tell me what is bothering you', 'state your opinion', 'state your name']","season 1 , The One Where It All Began (Pilot)","You want to tell us now, or are we waiting for four wet bridesmaids?","00:04:57,230","00:05:01,894"
waiting,در انتظار,"{'Noun': ['the act of waiting (remaining inactive in one place while expecting something'], 'Verb': ['stay in one place and anticipate or expect something', 'wait before acting', 'look forward to the probable occurrence of', 'serve as a waiter or waitress in a restaurant'], 'Adjective': ['being and remaining ready and available for use']}",['the wait was an ordeal for him'],"season 1 , The One Where It All Began (Pilot)","You want to tell us now, or are we waiting for four wet bridesmaids?","00:04:57,230","00:05:01,894"
wet,مرطوب,"{'Noun': ['wetness caused by water'], 'Verb': ['cause to become wet', ""make one's bed or clothes wet by urinating""], 'Adjective': ['covered or soaked with a liquid such as water', 'containing moisture or volatile components', 'supporting or permitting the legal production and sale of alcoholic beverages', 'producing or secreting milk', 'consisting of or trading in alcoholic liquor', 'very drunk']}",['drops of wet gleamed on the window'],"season 1 , The One Where It All Began (Pilot)","You want to tell us now, or are we waiting for four wet bridesmaids?","00:04:57,230","00:05:01,894"
bridesmaids,ساقدوش ها,{'Noun': ['an unmarried woman who attends the bride at a wedding']},N/A,"season 1 , The One Where It All Began (Pilot)","You want to tell us now, or are we waiting for four wet bridesmaids?","00:04:57,230","00:05:01,894"
started,آغاز شده,"{'Verb': ['take the first step or steps in carrying out an action', 'set in motion, cause to start', 'have a beginning, in a temporal, spatial, or evaluative sense', 'bring into being', 'get off the ground', 'move or jump suddenly, as if in surprise or alarm', 'get going or set in motion', 'begin or set in motion', 'begin work or acting in a certain capacity, office or job', 'play in the starting lineup', 'have a beginning characterized in some specified way', 'begin an event that is implied and limited by the nature or inherent function of the direct object', 'bulge outward']}","['We began working at dawn', 'Who will start?', 'Get working as soon as the sun rises!', 'The first tourists began to arrive in Cambodia', 'He began early in the day', ""Let's get down to work now""]","season 1 , The One Where It All Began (Pilot)","Well, it started about a half-hour before the wedding.","00:05:03,102","00:05:07,903"
halfhour,نیم ساعت,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","Well, it started about a half-hour before the wedding.","00:05:03,102","00:05:07,903"
wedding,عروسی,"{'Noun': ['the social event at which the ceremony of marriage is performed', 'the act of marrying; the nuptial ceremony', 'a party of people at a wedding'], 'Verb': ['take in marriage', 'perform a marriage ceremony']}",['their marriage was conducted in the chapel'],"season 1 , The One Where It All Began (Pilot)","Well, it started about a half-hour before the wedding.","00:05:03,102","00:05:07,903"
room,اتاق,"{'Noun': ['an area within a building enclosed by walls and floor and ceiling', 'space for movement', 'opportunity for', 'the people who are present in a room'], 'Verb': [""live and take one's meals at or in""]}",['the rooms were very small but they had a nice view'],"season 1 , The One Where It All Began (Pilot)",I was in the room with all the presents..,"00:05:08,107","00:05:10,769"
presents,هدیه,"{'Noun': ['the period of time that is happening now; any continuous stretch of time including the moment of speech', 'something presented as a gift', 'a verb tense that expresses actions or states at the time of speaking'], 'Verb': ['give an exhibition of to an interested audience', 'bring forward and present to the mind', 'perform (a play', 'hand over formally', 'introduce', 'give, especially as an honor or reward', 'give as a present; make a gift of', 'deliver (a speech, oration, or idea', 'cause to come to know personally', 'represent abstractly, for example in a painting, drawing, or sculpture', 'present somebody with something, usually to accuse or criticize', 'formally present a debutante, a representative of a country, etc.', 'recognize with a gesture prescribed by a military regulation; assume a prescribed position']}","['that is enough for the present', 'he lives in the present with no thought of tomorrow']","season 1 , The One Where It All Began (Pilot)",I was in the room with all the presents..,"00:05:08,107","00:05:10,769"
looking,نگاه کردن,"{'Noun': ['the act of directing the eyes toward something and perceiving it visually', 'the act of searching visually'], 'Verb': [""perceive with attention; direct one's gaze towards"", 'give a certain impression or have a certain outward aspect', 'have a certain outward or facial expression', 'search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'take charge of or deal with', ""convey by one's expression"", 'look forward to the probable occurrence of', 'accord in appearance with', 'have faith or confidence in'], 'Adjective': ['appearing to be as specified; usually used as combining forms']}","['he went out to have a look', 'his look was fixed on her eyes', 'he gave it a good looking at', 'his camera does his looking for him']","season 1 , The One Where It All Began (Pilot)",and I was looking at this really gorgeous Limoges gravy boat.,"00:05:10,977","00:05:16,677"
gorgeous,جذاب,{'Adjective': ['dazzlingly beautiful']},['a gorgeous Victorian gown'],"season 1 , The One Where It All Began (Pilot)",and I was looking at this really gorgeous Limoges gravy boat.,"00:05:10,977","00:05:16,677"
limoges,لیموژ,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",and I was looking at this really gorgeous Limoges gravy boat.,"00:05:10,977","00:05:16,677"
gravy,سس,"{'Noun': ['a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats', 'the seasoned but not thickened juices that drip from cooking meats; often a little water is added', 'a sudden happening that brings good fortune (as a sudden opportunity to make money']}",N/A,"season 1 , The One Where It All Began (Pilot)",and I was looking at this really gorgeous Limoges gravy boat.,"00:05:10,977","00:05:16,677"
boat,قایق,"{'Noun': ['a small vessel for travel on water', 'a dish (often boat-shaped'], 'Verb': ['ride in a boat on water']}",N/A,"season 1 , The One Where It All Began (Pilot)",and I was looking at this really gorgeous Limoges gravy boat.,"00:05:10,977","00:05:16,677"
sudden,ناگهانی,{'Adjective': ['happening without warning or in a short space of time']},"['a sudden storm', 'a sudden decision', 'a sudden cure']","season 1 , The One Where It All Began (Pilot)",When all of a sudden,"00:05:16,883","00:05:18,510"
sweet,شیرین,"{'Noun': ['English phonetician; one of the founders of modern phonetics (1845-1912', 'a dish served as the last course of a meal', 'a food rich in sugar', 'the taste experience when sugar dissolves in the mouth', 'the property of tasting as if it contains sugar'], 'Adjective': ['having or denoting the characteristic taste of sugar', 'having a sweet nature befitting an angel or cherub', 'pleasing to the ear', 'pleasing to the senses', 'pleasing to the mind or feeling', 'having a natural fragrance', '(used of wines', 'not containing or composed of salt water', 'not soured or preserved', 'with sweetening added'], 'Adverb': [""in an affectionate or loving manner (`sweet' is sometimes a poetic or informal variant of `sweetly'""]}",N/A,"season 1 , The One Where It All Began (Pilot)",Sweet 'N Low?,"00:05:18,718","00:05:19,912"
low,کم,"{'Noun': ['an air mass of lower pressure; often brings precipitation', 'British political cartoonist (born in New Zealand', '1891-1963', 'a low level or position or degree', 'the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving'], 'Verb': ['make a low noise, characteristic of bovines'], 'Adjective': ['less than normal in degree or intensity or amount', 'literal meanings; being at or having a relatively small elevation or upward extension', 'very low in volume', 'unrefined in character', 'used of sounds and voices; low in pitch or frequency', 'of the most contemptible kind', 'low or inferior in station or quality', 'no longer sufficient', 'subdued or brought low in condition or status', 'filled with melancholy and despondency'], 'Adverb': ['in a low position; near the ground']}",['a low moved in over night bringing sleet and snow'],"season 1 , The One Where It All Began (Pilot)",Sweet 'N Low?,"00:05:18,718","00:05:19,912"
realized,متوجه شد,"{'Verb': ['be fully aware or cognizant of', 'perceive (an idea or situation', 'make real or concrete; give reality or substance to', 'earn on some commercial or business transaction; earn as salary or wages', 'convert into cash; of goods and property', 'expand or complete (a part in a piece of baroque music'], 'Adjective': ['successfully completed or brought to an end']}","['Now I see!', ""I just can't see your point"", 'Does she realize how important this decision is?', ""I don't understand the idea""]","season 1 , The One Where It All Began (Pilot)",I realized I was more turned on by this gravy boat than Barry.,"00:05:22,288","00:05:26,190"
turned,تبدیل شده است,"{'Verb': ['change orientation or direction, also in the abstract sense', 'undergo a transformation or a change of position or action', 'undergo a change or development', 'cause to move around or rotate', 'change to the contrary', 'pass to the other side of', 'pass into a condition gradually, take on a specific property or attribute; become', 'let (something', 'move around an axis or a center', 'cause to move around a center so as to show another side of', 'to send or let go', 'to break and turn over earth especially with a plow', 'shape by rotating on a lathe or cutting device or a wheel', 'change color', 'twist suddenly so as to sprain', 'cause to change or turn into something different;assume new characteristics', 'accomplish by rotating', 'get by buying and selling', 'cause to move along an axis or into a new direction', ""channel one's attention, interest, thought, or attention toward or away from something"", 'cause (a plastic object', 'alter the functioning or setting of', 'direct at someone', 'have recourse to or make an appeal or request for help or information to', 'go sour or spoil', 'become officially one year older'], 'Adjective': ['moved around an axis or center', 'in an unpalatable state']}","['Turn towards me', 'The mugger turned and fled before I could see his face', ""She turned from herself and learned to listen to others' needs""]","season 1 , The One Where It All Began (Pilot)",I realized I was more turned on by this gravy boat than Barry.,"00:05:22,288","00:05:26,190"
gravy,سس,"{'Noun': ['a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats', 'the seasoned but not thickened juices that drip from cooking meats; often a little water is added', 'a sudden happening that brings good fortune (as a sudden opportunity to make money']}",N/A,"season 1 , The One Where It All Began (Pilot)",I realized I was more turned on by this gravy boat than Barry.,"00:05:22,288","00:05:26,190"
boat,قایق,"{'Noun': ['a small vessel for travel on water', 'a dish (often boat-shaped'], 'Verb': ['ride in a boat on water']}",N/A,"season 1 , The One Where It All Began (Pilot)",I realized I was more turned on by this gravy boat than Barry.,"00:05:22,288","00:05:26,190"
freaked,وحشت زده,"{'Verb': [""lose one's nerve""]}","['When he saw the accident, he freaked out']","season 1 , The One Where It All Began (Pilot)","I got freaked out, and it hit me:","00:05:26,392","00:05:29,259"
hit,اصابت,"{'Noun': ['(baseball', 'especially in baseball', 'the act of contacting one thing with another', 'a conspicuous success', '(physics', 'a dose of a narcotic drug', 'a murder carried out by an underworld syndicate', 'a connection made via the internet to another website'], 'Verb': ['cause to move by striking', 'hit against; come into sudden contact with', 'deal a blow to, either with the hand or with an instrument', 'reach a destination, either real or abstract', 'affect or afflict suddenly, usually adversely', 'hit with a missile from a weapon', 'encounter by chance', 'gain points in a game', 'cause to experience suddenly', 'make a strategic, offensive, assault against an enemy, opponent, or a target', 'kill intentionally and with premeditation', 'drive something violently into a location', 'reach a point in time, or a certain state or level', 'produce by manipulating keys or strings of musical instruments', 'hit the intended target or goal', 'pay unsolicited and usually unwanted sexual attention to']}","[""he came all the way around on Williams' hit""]","season 1 , The One Where It All Began (Pilot)","I got freaked out, and it hit me:","00:05:26,392","00:05:29,259"
looks,به نظر می رسد,"{'Noun': [""the feelings expressed on a person's face"", 'the act of directing the eyes toward something and perceiving it visually', 'physical appearance', 'the general atmosphere of a place or situation and the effect that it has on people'], 'Verb': [""perceive with attention; direct one's gaze towards"", 'give a certain impression or have a certain outward aspect', 'have a certain outward or facial expression', 'search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'take charge of or deal with', ""convey by one's expression"", 'look forward to the probable occurrence of', 'accord in appearance with', 'have faith or confidence in']}","['a sad expression', 'a look of triumph', 'an angry face']","season 1 , The One Where It All Began (Pilot)",How much Barry looks like Mr. Potato Head.,"00:05:29,462","00:05:32,260"
potato,سیب زمینی,"{'Noun': ['an edible tuber native to South America; a staple food of Ireland', 'annual native to South America having underground stolons bearing edible starchy tubers; widely cultivated as a garden vegetable; vines are poisonous']}",N/A,"season 1 , The One Where It All Began (Pilot)",How much Barry looks like Mr. Potato Head.,"00:05:29,462","00:05:32,260"
head,سر,"{'Noun': ['the upper part of the human body or the front part of the body in animals; contains the face and brains', 'a single domestic animal', ""that which is responsible for one's thoughts, feelings, and conscious brain functions; the seat of the faculty of reason"", 'a person who is in charge', 'the front of a military formation or procession', 'the pressure exerted by a fluid', 'the top of something', 'the source of water from which a stream arises', '(grammar', 'the tip of an abscess (where the pus accumulates', 'the length or height based on the size of a human or animal head', 'a dense cluster of flowers or foliage', 'the educator who has executive authority for a school', 'an individual person', 'a user of (usually soft', 'a natural elevation (especially a rocky one that juts out into the sea', 'a rounded compact mass', 'the foam or froth that accumulates at the top when you pour an effervescent liquid into a container', 'the part in the front or nearest the viewer', 'a difficult juncture', 'forward movement', 'a V-shaped mark at one end of an arrow pointer', 'the subject matter at issue', 'a line of text serving to indicate what the passage below it is about', 'the rounded end of a bone that fits into a rounded cavity in another bone to form a joint', 'that part of a skeletal muscle that is away from the bone that it moves', '(computer science', '(usually plural', 'the striking part of a tool', '(nautical', 'a projection out from one end', 'a membrane that is stretched taut over a drum', 'oral stimulation of the genitals'], 'Verb': ['to go or travel towards', 'be in charge of', 'travel in front of; go in advance of others', 'be the first or leading member of (a group', 'direct the course; determine the direction of travelling', 'take its rise', 'be in the front of or on top of', 'form a head or come or grow to a head', 'remove the head of']}",['he stuck his head out the window'],"season 1 , The One Where It All Began (Pilot)",How much Barry looks like Mr. Potato Head.,"00:05:29,462","00:05:32,260"
looked,نگاه کرد,"{'Verb': [""perceive with attention; direct one's gaze towards"", 'give a certain impression or have a certain outward aspect', 'have a certain outward or facial expression', 'search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'take charge of or deal with', ""convey by one's expression"", 'look forward to the probable occurrence of', 'accord in appearance with', 'have faith or confidence in']}","['She looked over the expanse of land', 'Look at your child!', 'Look--a deer in the backyard!']","season 1 , The One Where It All Began (Pilot)","I always knew he looked familiar, but..","00:05:32,932","00:05:36,368"
familiar,آشنا,"{'Noun': ['a person attached to the household of a high official (as a pope or bishop', 'a friend who is frequently in the company of another', 'a spirit (usually in animal form'], 'Adjective': ['well known or easily recognized', 'within normal everyday experience; common and ordinary; not strange', ""(usually followed by `with'"", 'having mutual interests or affections; of established friendship']}","['drinking companions', 'comrades in arms']","season 1 , The One Where It All Began (Pilot)","I always knew he looked familiar, but..","00:05:32,932","00:05:36,368"
started,آغاز شده,"{'Verb': ['take the first step or steps in carrying out an action', 'set in motion, cause to start', 'have a beginning, in a temporal, spatial, or evaluative sense', 'bring into being', 'get off the ground', 'move or jump suddenly, as if in surprise or alarm', 'get going or set in motion', 'begin or set in motion', 'begin work or acting in a certain capacity, office or job', 'play in the starting lineup', 'have a beginning characterized in some specified way', 'begin an event that is implied and limited by the nature or inherent function of the direct object', 'bulge outward']}","['We began working at dawn', 'Who will start?', 'Get working as soon as the sun rises!', 'The first tourists began to arrive in Cambodia', 'He began early in the day', ""Let's get down to work now""]","season 1 , The One Where It All Began (Pilot)","I had to get out of there, and I started wondering..","00:05:38,738","00:05:42,139"
wondering,متعجب,"{'Verb': ['have a wish or desire to know something', 'place in doubt or express doubtful speculation', 'be amazed at'], 'Adjective': ['showing curiosity']}",['He wondered who had built this beautiful church'],"season 1 , The One Where It All Began (Pilot)","I had to get out of there, and I started wondering..","00:05:38,738","00:05:42,139"
didnt,نکرد,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","I didn't know where to go, and I know we've drifted apart..","00:05:46,212","00:05:50,114"
weve,می زنیم,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","I didn't know where to go, and I know we've drifted apart..","00:05:46,212","00:05:50,114"
drifted,رانده شد,"{'Verb': ['be in motion due to some air or water current', 'wander from a direct course or at random', 'move about aimlessly or without any destination, often in search of food or employment', 'vary or move from a fixed point or course', 'live unhurriedly, irresponsibly, or freely', 'move in an unhurried fashion', 'cause to be carried by a current', 'drive slowly and far afield for grazing', 'be subject to fluctuation', 'be piled up in banks or heaps by the force of wind or a current']}","['The leaves were blowing in the wind', 'the boat drifted on the lake', 'The sailboat was adrift on the open sea', 'the shipwrecked boat drifted away from the shore']","season 1 , The One Where It All Began (Pilot)","I didn't know where to go, and I know we've drifted apart..","00:05:46,212","00:05:50,114"
apart,جدا از هم,"{'Adjective': ['remote and separate physically or socially', 'having characteristics not shared by others'], 'Adverb': ['separated or at a distance in place or position or time', 'not taken into account or excluded from consideration', 'away from another or others', 'placed or kept separate and distinct as for a purpose', 'one from the other', 'into parts or pieces']}","['existed over the centuries as a world apart', 'preserved because they inhabited a place apart', 'tiny isolated villages remote from centers of civilization', 'an obscure village']","season 1 , The One Where It All Began (Pilot)","I didn't know where to go, and I know we've drifted apart..","00:05:46,212","00:05:50,114"
youre,شما هستید,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",but you're the only person I know here.,"00:05:50,783","00:05:53,616"
person,شخص,"{'Noun': ['a human being', 'a human body (usually including the clothing', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party']}",['there was too much for one person to do'],"season 1 , The One Where It All Began (Pilot)",but you're the only person I know here.,"00:05:50,783","00:05:53,616"
wasnt,نبود,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",- Who wasn't invited to the wedding. - I hoped that wouldn't be an issue.,"00:05:53,786","00:05:59,156"
invited,دعوت کرد,"{'Verb': ['increase the likelihood of', ""invite someone to one's house"", 'give rise to a desire by being attractive or inviting', 'ask someone in a friendly way to do something', 'have as a guest', 'ask to enter', 'request the participation or presence of', ""express willingness to have in one's home or environs""]}","['ask for trouble', 'invite criticism']","season 1 , The One Where It All Began (Pilot)",- Who wasn't invited to the wedding. - I hoped that wouldn't be an issue.,"00:05:53,786","00:05:59,156"
wedding,عروسی,"{'Noun': ['the social event at which the ceremony of marriage is performed', 'the act of marrying; the nuptial ceremony', 'a party of people at a wedding'], 'Verb': ['take in marriage', 'perform a marriage ceremony']}",['their marriage was conducted in the chapel'],"season 1 , The One Where It All Began (Pilot)",- Who wasn't invited to the wedding. - I hoped that wouldn't be an issue.,"00:05:53,786","00:05:59,156"
hoped,امیدوار شد,"{'Verb': ['expect and wish', 'be optimistic; be full of hope; have hopes', 'intend with some possibility of fulfilment']}","['I trust you will behave better from now on', 'I hope she understands that she cannot expect a raise']","season 1 , The One Where It All Began (Pilot)",- Who wasn't invited to the wedding. - I hoped that wouldn't be an issue.,"00:05:53,786","00:05:59,156"
wouldnt,نمی خواهد,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",- Who wasn't invited to the wedding. - I hoped that wouldn't be an issue.,"00:05:53,786","00:05:59,156"
